Person ID,Angry (s),Sad (s),Happy (s),Fear (s),Disgust (s),Neutral (s),Surprise (s)
Person 1,0,16.989601373672485,12.354300022125244,0,0,0,0
Person 2,0,0.8514173030853271,1.3784470558166504,0,0,0,0
